"twitter_id","label","__split","tweet","sela","varw","ddss"
"1214268776277053442","misogyny","test","@Ludmi_rocio_ callate puta","False","False","True"
"1205238250962669568","misogyny","train","@twominbae cállate puta","False","False","True"
"1207465446296997888","misogyny","val","@GretaThunberg puta","False","True","True"
"1208911499047161856","misogyny","train","@Josumovic Puta Greta","False","True","True"
"1205023124368048128","misogyny","train","@monasterioR @julia_otero Eres patética","True","True","False"
"1205832990934413312","misogyny","train","@GretaThunberg Loca del coño","False","True","True"
"1221468572582629376","misogyny","train","@GretaThunberg cerda","False","True","True"
"1204996431884537856","misogyny","test","@monasterioR @julia_otero Eres patética.","True","True","False"
"1209611778210115585","misogyny","train","@outmarina Cállate puta de mierda","False","False","True"
"1207845240641609729","misogyny","train","@Valeryth_ Callate puta que te dejo en visto","False","False","True"
"1207289550126620674","misogyny","train","@LaFallaras Deja el alcohol cerda","True","True","False"
"1207745845900251136","misogyny","train","@AdaColau HIJA DE PUTA","True","True","False"
"1208229977738633216","misogyny","train","@Cannabianol Greta puta","False","True","True"
"1208160409510912008","misogyny","val","@Tiqui_Baquerizo @DrProChoice @emilioer @AvaFelix3 @GraceVegas90 Claro que si las niñas y niños por nacer nos recuerdan el nacimiento del niño Jesús pero como las Feminazis trapo verde no creen en Dios como un rito satánico prefieren sacrificar inocentes y no lo vamos a permitir","True","False","False"
"1211737255208984578","misogyny","train","Ojalá las feminazis no me den palo por subir este video ??????????? #dolar http://t.co/","True","False","False"
"1202444894721249281","misogyny","train","feminismo=igualdad de hombres y mujeres. feminazi=mujeres que se creen superiores a los hombres. a ver si algún día entienden","True","False","False"
"1207776839697129472","misogyny","val","No veo a las feminazis decir nada de este caso, si hubiera sido al revés, ya estuvieran como cotorras exigiendo la pena de muerte para el tipo. http://t.co/","True","False","False"
"1210643148998938625","misogyny","train","@drummniatico No se vaya asustar! Ese es el gremio de feminazis... el cuartel de las feas, que si le dices preciosas, se ofenden, xq piensa que te le burlas, pues ellas saben que no lo son! http://t.co/","True","False","False"
"1207373552099450882","misogyny","train","@BetoYr A todas esas feminazis se les acaba todo cuando es de pagar la cuenta ...","True","False","False"
"1206440616101588992","misogyny","val","@DianaMayora ASÍ COMO TUS DELIRIOS FEMINAZIS? JAJAJJAJAJAJAJAJAJA. duermase.","True","False","False"
"1206646560618094594","misogyny","train","@LaFallaras Payasa háztelo mirar","True","True","False"
"1212574990454923265","misogyny","test","@avrilcapparelli Uh callate puta","False","False","True"
"1204425536916905985","misogyny","train","esta es la loca que se la da de feminazi y al final el marido parece ser que es un violador o abusador http://t.co/","True","False","False"
"1207453546834276358","misogyny","train","Las feminazis del siglo XXI. Cualquier pendejada les parece una ofensa terrible: http://t.co/","True","False","False"
"1205895318212136961","misogyny","test","@LaFallaras Si estamos de acuerdo que con arreglo a la ley es abuso.. pero alguien tiene que decirlo, la niña esa es más PUTA que la Dolores y se ha comido mas rabos que macarrones!!","True","True","False"
"1210866454070988801","misogyny","test","@InesArrimadas Estás loca.","False","True","False"
"1204470688624652288","misogyny","val","Esto no es feminismo es ser #Feminazi de mierda. http://t.co/","True","False","False"
"1204535986971131911","misogyny","val","Fea, ladrona y para mas cagarla...ordinaria. Que diferencia con la caballerosidad del ex presidente Macri...feminazi? http://t.co/","True","False","False"
"1206072779000438784","misogyny","test","@cristiancrespoj No es demonio es una histérica feminazi","True","False","False"
"1205521128179011586","misogyny","train","@VauquitaS Me ha pasado lo mismo. Lo sigo haciendo y seguiré, es mi manera de saber si es una MUJER o una feminazi resentida.","True","False","False"
"1206606011534057474","misogyny","train","Esas feminazis son más intensas que los testigos de Jehová http://t.co/","True","False","False"
"1205642520350396417","misogyny","train","@LaFallaras @populares @CiudadanosCs Loca que eres una puñetera loca, sin ser NADIE, tienes que hablar de personajes reconocidos para intentar ser ALGUIEN. PATÉTICA","True","True","False"
"1213870892138323970","misogyny","train","@LaFallaras @TeruelExiste_ Allí te puedes emborrachas loca alcohólica","True","True","False"
"1209256450507206657","misogyny","train","Ni porque sea feminazi la hdsptm http://t.co/","True","False","False"
"1206924747013066752","misogyny","train","@LaFallaras @publico_es Cerda!!! Enterate!!! Que se lo ha inventado todo la mamarracha esa!! Que no t enteras!! Q no sirves pan nada!! Trozo de carne putrefacta!!!! http://t.co/","True","True","False"
"1212736562410270721","misogyny","test","@elcomercio_peru Otra feminazi más","True","False","False"
"1207030524285530113","misogyny","train","@AmirSalva @Bell_2803 @LaSiglo21 Exacto, no tiene nada que ver lo académico, es totalmente absurdo y un abuso. Donde queda la libre expresión? Y las feminazis que vandalizan, ahí no dicen nada, que doble moral.","True","False","False"
"1206922173195132929","misogyny","train","Lo de feminazi es discutible porque si hay feministas que lo son, por ejemplo, el caso del hombre viejo y ciego entrando por error al vagón de solo mujeres en México. http://t.co/","True","False","False"
"1212465186084446208","misogyny","train","@negromangueraa @Ironmanmark851 Los vídeos de las feminazis en pelotas algo ladillisimoooo","True","False","False"
"1210568080444837890","misogyny","train","@eluniversocom Quien es capaz de piropiar a las feminazis. Eso si es ser puerco. Además en la hinchada barcelonista también hay mujeres. Estas feminazis son ridículas, ahora generalizando a la hinchada de un club deportivo.","True","False","False"
"1205339921436860416","misogyny","val","@Gonkano Locas Feminazi aborteras matabebes.","True","False","False"
"1202719392729096193","misogyny","val","Una feminazi me hizo quitar mi tula de una silla en el metro para acomodarse las medias, ¿qué es este tipo de violencia?","True","False","False"
"1210673404904431624","misogyny","train","#FEMINAZIS unidas con propósitos #PROMUERTE trabajando para PLANNED PARENTHOOD #GeorgeSoros #ippf #ONU #CIDH http://t.co/","True","False","False"
"1210755666878451712","misogyny","val","@CsarQ23 es la feminazi de @mariapaularomo cargo en el que rema para donde le conviene, su circulo de ridículas feminazis y menos se preocupa por disculparse con la ciudadanía por lo inservible que ha sido en el cargo que nosostros mismos pagamos ! Debes rendirte a quienes te alimentan.","True","False","False"
"1207709398216380416","misogyny","train","@vanesavallejo3 Esas feminazis, solo tienen y destilan odio, eso es una doctrina de mierda, le carbonizan el cerebro!.","True","False","False"
"1206835309704556545","misogyny","train","@LaFallaras @CristinaSegui_ @alfonso_ussia @bertrandmyd @publico_es Ahí ahí, demostrando que como buena feminazi hembrista la verdad te importa tres cojones. Sabes de sobra que ella es una mentirosa que quiere joderles la vida y aún así te la pela.","True","False","False"
"1209887570177511425","misogyny","train","@GermanT00752596 @TmazRsc Ahora me salieron feminazis jajaja http://t.co/","True","False","False"
"1206836167464882176","misogyny","val","@AnabelAlonso_of @policia Otra feminazi a la que se la pela la verdad y le parece cojonudo que una niñata de mierda les vaya a joder la vida a tres personas.","True","False","False"
"1205639421028130818","misogyny","train","@LaFallaras @populares @CiudadanosCs Deja la botella loca del coño...","True","True","False"
"1207699408558731270","misogyny","train","@VaneOblitas1 @MilagrosLeivaG Atea y feminazi, ya para que responderle la bestialidad que escribe...","True","False","False"
